"Date,""Price"",""Open"",""High"",""Low"",""Vol."",""Change %"""
"06/10/2022,""27,824.29"",""27,996.35"",""28,044.45"",""27,795.17"",""797.50M"",""-1.49%"""
"06/09/2022,""28,246.53"",""28,189.35"",""28,389.75"",""28,189.35"",""803.04M"",""0.04%"""
"06/08/2022,""28,234.29"",""28,100.26"",""28,234.29"",""28,089.78"",""786.80M"",""1.04%"""
"06/07/2022,""27,943.95"",""27,984.79"",""28,094.73"",""27,863.38"",""682.52M"",""0.10%"""
"06/06/2022,""27,915.89"",""27,549.64"",""27,979.54"",""27,523.95"",""567.65M"",""0.56%"""
"06/03/2022,""27,761.57"",""27,660.62"",""27,776.33"",""27,614.86"",""636.78M"",""1.27%"""
"06/02/2022,""27,413.88"",""27,340.52"",""27,450.47"",""27,251.24"",""636.44M"",""-0.16%"""
"06/01/2022,""27,457.89"",""27,295.63"",""27,482.31"",""27,295.42"",""757.60M"",""0.65%"""
"05/31/2022,""27,279.80"",""27,318.09"",""27,463.33"",""27,250.70"",""1.42B"",""-0.33%"""
"05/30/2022,""27,369.43"",""27,092.82"",""27,401.24"",""27,057.20"",""969.58M"",""2.19%"""
"05/27/2022,""26,781.68"",""26,947.80"",""26,996.70"",""26,731.60"",""693.12M"",""0.66%"""
"05/26/2022,""26,604.84"",""26,685.02"",""26,898.75"",""26,597.97"",""645.12M"",""-0.27%"""
"05/25/2022,""26,677.80"",""26,711.53"",""26,795.89"",""26,578.03"",""723.40M"",""-0.26%"""
"05/24/2022,""26,748.14"",""27,005.43"",""27,005.43"",""26,736.01"",""674.41M"",""-0.94%"""
"05/23/2022,""27,001.52"",""26,991.42"",""27,047.47"",""26,832.65"",""650.27M"",""0.98%"""
"05/20/2022,""26,739.03"",""26,448.23"",""26,769.20"",""26,426.99"",""763.41M"",""1.27%"""
"05/19/2022,""26,402.84"",""26,435.32"",""26,458.85"",""26,150.09"",""745.04M"",""-1.89%"""
"05/18/2022,""26,911.20"",""26,826.82"",""27,053.18"",""26,741.34"",""746.71M"",""0.94%"""
"05/17/2022,""26,659.75"",""26,555.23"",""26,709.26"",""26,440.62"",""789.29M"",""0.42%"""
"05/16/2022,""26,547.05"",""26,753.37"",""26,836.96"",""26,438.61"",""869.88M"",""0.45%"""
"05/13/2022,""26,427.65"",""25,918.80"",""26,479.93"",""25,904.40"",""1.04B"",""2.64%"""
"05/12/2022,""25,748.72"",""25,945.04"",""26,028.36"",""25,688.11"",""911.68M"",""-1.77%"""
"05/11/2022,""26,213.64"",""26,045.38"",""26,290.62"",""26,003.26"",""858.64M"",""0.18%"""
"05/10/2022,""26,167.10"",""26,149.06"",""26,246.63"",""25,773.83"",""807.62M"",""-0.58%"""
"05/09/2022,""26,319.34"",""26,705.32"",""26,732.61"",""26,309.22"",""795.32M"",""-2.53%"""
"05/06/2022,""27,003.56"",""26,784.29"",""27,072.59"",""26,543.29"",""984.98M"",""0.69%"""
"05/02/2022,""26,818.53"",""26,851.10"",""26,964.59"",""26,610.86"",""745.26M"",""-0.11%"""
"04/28/2022,""26,847.90"",""26,430.28"",""26,876.95"",""26,348.36"",""867.04M"",""1.75%"""
"04/27/2022,""26,386.63"",""26,313.14"",""26,406.62"",""26,051.04"",""973.01M"",""-1.17%"""
"04/26/2022,""26,700.11"",""26,743.21"",""26,808.99"",""26,592.99"",""643.28M"",""0.41%"""
"04/25/2022,""26,590.78"",""26,692.48"",""26,764.48"",""26,487.84"",""626.82M"",""-1.90%"""
"04/22/2022,""27,105.26"",""27,197.80"",""27,205.83"",""26,904.38"",""584.65M"",""-1.63%"""
"04/21/2022,""27,553.06"",""27,259.14"",""27,580.64"",""27,252.83"",""623.40M"",""1.23%"""
"04/20/2022,""27,217.85"",""27,210.79"",""27,389.84"",""27,066.18"",""723.36M"",""0.86%"""
"04/19/2022,""26,985.09"",""27,096.49"",""27,100.59"",""26,777.71"",""605.07M"",""0.69%"""
"04/18/2022,""26,799.71"",""26,831.45"",""26,851.80"",""26,571.38"",""483.50M"",""-1.08%"""
"04/15/2022,""27,093.19"",""26,932.48"",""27,203.77"",""26,784.92"",""515.47M"",""-0.29%"""
"04/14/2022,""27,172.00"",""26,925.64"",""27,200.89"",""26,890.68"",""618.42M"",""1.22%"""
"04/13/2022,""26,843.49"",""26,436.06"",""26,885.87"",""26,429.47"",""716.29M"",""1.93%"""
"04/12/2022,""26,334.98"",""26,606.87"",""26,674.86"",""26,304.08"",""753.18M"",""-1.81%"""
"04/11/2022,""26,821.52"",""26,877.60"",""27,004.50"",""26,720.46"",""734.51M"",""-0.61%"""
"04/08/2022,""26,985.80"",""27,097.05"",""27,185.23"",""26,764.36"",""780.65M"",""0.36%"""
"04/07/2022,""26,888.57"",""27,032.42"",""27,042.49"",""26,801.79"",""711.29M"",""-1.69%"""
"04/06/2022,""27,350.30"",""27,533.88"",""27,549.67"",""27,214.61"",""686.52M"",""-1.58%"""
"04/05/2022,""27,787.98"",""27,965.94"",""27,965.94"",""27,662.28"",""643.00M"",""0.19%"""
"04/04/2022,""27,736.47"",""27,685.65"",""27,754.24"",""27,578.81"",""503.46M"",""0.25%"""
"04/01/2022,""27,665.98"",""27,624.11"",""27,738.31"",""27,399.48"",""667.54M"",""-0.56%"""
"03/31/2022,""27,821.43"",""27,809.97"",""28,101.68"",""27,763.96"",""786.42M"",""-0.73%"""
"03/30/2022,""28,027.25"",""28,250.80"",""28,281.45"",""27,736.27"",""834.48M"",""-0.80%"""
"03/29/2022,""28,252.42"",""28,173.43"",""28,252.42"",""28,063.92"",""777.01M"",""1.10%"""
"03/28/2022,""27,943.89"",""28,084.08"",""28,084.08"",""27,812.67"",""653.00M"",""-0.73%"""
"03/25/2022,""28,149.84"",""28,338.81"",""28,338.81"",""27,946.79"",""674.03M"",""0.14%"""
"03/24/2022,""28,110.39"",""27,693.77"",""28,110.39"",""27,624.62"",""716.04M"",""0.25%"""
"03/23/2022,""28,040.16"",""27,606.79"",""28,056.20"",""27,604.37"",""882.01M"",""3.00%"""
"03/22/2022,""27,224.11"",""27,091.32"",""27,284.47"",""27,076.33"",""979.85M"",""1.48%"""
"03/18/2022,""26,827.43"",""26,649.50"",""26,862.43"",""26,592.98"",""1.08B"",""0.65%"""
"03/17/2022,""26,652.89"",""26,170.38"",""26,702.94"",""26,152.89"",""896.41M"",""3.46%"""
"03/16/2022,""25,762.01"",""25,574.90"",""25,824.94"",""25,470.46"",""823.42M"",""1.64%"""
"03/15/2022,""25,346.48"",""25,228.53"",""25,441.67"",""25,219.13"",""732.02M"",""0.15%"""
"03/14/2022,""25,307.85"",""25,338.64"",""25,631.01"",""25,299.64"",""725.83M"",""0.58%"""
"03/11/2022,""25,162.78"",""25,495.03"",""25,503.65"",""24,966.50"",""895.95M"",""-2.05%"""
"03/10/2022,""25,690.40"",""25,108.47"",""25,720.31"",""25,099.85"",""952.29M"",""3.94%"""
"03/09/2022,""24,717.53"",""24,876.49"",""25,084.08"",""24,681.74"",""915.25M"",""-0.30%"""
"03/08/2022,""24,790.95"",""24,974.35"",""25,291.33"",""24,767.33"",""1.15B"",""-1.71%"""
"03/07/2022,""25,221.41"",""25,634.09"",""25,640.41"",""25,006.26"",""1.05B"",""-2.94%"""
"03/04/2022,""25,985.47"",""26,421.85"",""26,421.85"",""25,774.28"",""935.30M"",""-2.23%"""
"03/03/2022,""26,577.27"",""26,628.87"",""26,704.85"",""26,496.72"",""747.89M"",""0.70%"""
"03/02/2022,""26,393.03"",""26,532.20"",""26,585.30"",""26,313.72"",""877.11M"",""-1.68%"""
"03/01/2022,""26,844.72"",""26,836.74"",""27,013.26"",""26,821.75"",""740.24M"",""1.20%"""
"02/28/2022,""26,526.82"",""26,457.52"",""26,644.56"",""26,262.63"",""910.56M"",""0.19%"""
"02/25/2022,""26,476.50"",""26,213.20"",""26,481.60"",""26,160.19"",""775.80M"",""1.95%"""
"02/24/2022,""25,970.82"",""26,281.35"",""26,357.58"",""25,775.64"",""935.36M"",""-1.81%"""
"02/22/2022,""26,449.61"",""26,515.45"",""26,550.14"",""26,243.73"",""673.11M"",""-1.71%"""
"02/21/2022,""26,910.87"",""26,771.58"",""26,998.47"",""26,549.00"",""529.04M"",""-0.78%"""
"02/18/2022,""27,122.07"",""26,895.16"",""27,216.16"",""26,792.54"",""635.33M"",""-0.41%"""
"02/17/2022,""27,232.87"",""27,431.42"",""27,438.74"",""27,080.92"",""677.82M"",""-0.83%"""
"02/16/2022,""27,460.40"",""27,269.05"",""27,486.09"",""27,227.24"",""641.24M"",""2.22%"""
"02/15/2022,""26,865.19"",""27,183.56"",""27,205.20"",""26,724.91"",""761.72M"",""-0.79%"""
"02/14/2022,""27,079.59"",""27,305.92"",""27,325.50"",""26,947.65"",""797.74M"",""-2.23%"""
"02/10/2022,""27,696.08"",""27,818.10"",""27,880.70"",""27,575.07"",""828.74M"",""0.42%"""
"02/09/2022,""27,579.87"",""27,488.65"",""27,633.10"",""27,405.88"",""934.78M"",""1.08%"""
"02/08/2022,""27,284.52"",""27,318.30"",""27,461.33"",""27,280.25"",""766.03M"",""0.13%"""
"02/07/2022,""27,248.87"",""27,327.63"",""27,369.68"",""27,085.32"",""770.96M"",""-0.70%"""
"02/04/2022,""27,439.99"",""27,095.90"",""27,455.98"",""27,075.99"",""796.06M"",""0.73%"""
"02/03/2022,""27,241.31"",""27,330.96"",""27,357.33"",""27,165.93"",""810.74M"",""-1.06%"""
"02/02/2022,""27,533.60"",""27,302.99"",""27,564.62"",""27,289.16"",""852.10M"",""1.68%"""
"02/01/2022,""27,078.48"",""27,167.14"",""27,410.79"",""27,016.71"",""811.32M"",""0.28%"""
"01/31/2022,""27,001.98"",""26,690.60"",""27,134.57"",""26,541.65"",""782.88M"",""1.07%"""
"01/28/2022,""26,717.34"",""26,429.85"",""26,764.85"",""26,289.69"",""759.87M"",""2.09%"""
"01/27/2022,""26,170.30"",""27,139.88"",""27,193.59"",""26,044.52"",""887.38M"",""-3.11%"""
"01/26/2022,""27,011.33"",""27,105.98"",""27,184.54"",""26,858.68"",""604.68M"",""-0.44%"""
"01/25/2022,""27,131.34"",""27,466.82"",""27,493.75"",""26,890.94"",""769.68M"",""-1.66%"""
"01/24/2022,""27,588.37"",""27,258.45"",""27,627.60"",""27,203.33"",""610.19M"",""0.24%"""
"01/21/2022,""27,522.26"",""27,404.36"",""27,586.42"",""27,129.61"",""727.50M"",""-0.90%"""
"01/20/2022,""27,772.93"",""27,401.43"",""27,882.53"",""27,217.59"",""740.21M"",""1.11%"""
"01/19/2022,""27,467.23"",""27,928.89"",""27,958.17"",""27,314.41"",""842.98M"",""-2.80%"""
"01/18/2022,""28,257.25"",""28,451.34"",""28,690.34"",""28,129.66"",""713.13M"",""-0.27%"""
"01/17/2022,""28,333.52"",""28,332.72"",""28,449.99"",""28,274.18"",""544.80M"",""0.74%"""
"01/14/2022,""28,124.28"",""28,246.99"",""28,252.96"",""27,889.21"",""820.67M"",""-1.28%"""
"01/13/2022,""28,489.13"",""28,658.22"",""28,660.45"",""28,444.96"",""698.81M"",""-0.96%"""
"01/12/2022,""28,765.66"",""28,449.53"",""28,814.31"",""28,427.60"",""725.48M"",""1.92%"""
"01/11/2022,""28,222.48"",""28,380.90"",""28,473.47"",""28,089.49"",""737.06M"",""-0.90%"""
"01/07/2022,""28,478.56"",""28,711.53"",""28,813.09"",""28,293.70"",""751.71M"",""-0.03%"""
"01/06/2022,""28,487.87"",""29,136.75"",""29,158.95"",""28,487.87"",""715.91M"",""-2.88%"""
"01/05/2022,""29,332.16"",""29,288.80"",""29,388.16"",""29,204.45"",""786.26M"",""0.10%"""
"01/04/2022,""29,301.79"",""29,098.41"",""29,323.79"",""28,954.56"",""660.37M"",""1.77%"""
"12/30/2021,""28,791.71"",""28,794.24"",""28,904.42"",""28,579.49"",""403.89M"",""-0.40%"""
"12/29/2021,""28,906.88"",""28,995.73"",""29,106.28"",""28,729.61"",""447.11M"",""-0.56%"""
"12/28/2021,""29,069.16"",""28,953.32"",""29,121.01"",""28,879.68"",""470.40M"",""1.37%"""
"12/27/2021,""28,676.46"",""28,786.33"",""28,805.28"",""28,658.82"",""374.87M"",""-0.37%"""
"12/24/2021,""28,782.59"",""28,836.05"",""28,870.13"",""28,773.50"",""359.09M"",""-0.05%"""
"12/23/2021,""28,798.37"",""28,703.01"",""28,798.37"",""28,640.15"",""435.64M"",""0.83%"""
"12/22/2021,""28,562.21"",""28,614.06"",""28,673.77"",""28,473.85"",""446.53M"",""0.16%"""
"12/21/2021,""28,517.59"",""28,309.60"",""28,533.74"",""28,226.43"",""557.82M"",""2.08%"""
"12/20/2021,""27,937.81"",""28,325.46"",""28,441.51"",""27,893.18"",""651.77M"",""-2.13%"""
"12/17/2021,""28,545.68"",""28,854.60"",""28,904.94"",""28,503.08"",""844.50M"",""-1.79%"""
"12/16/2021,""29,066.32"",""28,868.37"",""29,070.08"",""28,782.19"",""602.66M"",""2.13%"""
"12/15/2021,""28,459.72"",""28,358.47"",""28,525.83"",""28,358.47"",""558.78M"",""0.10%"""
"12/14/2021,""28,432.64"",""28,554.86"",""28,672.96"",""28,309.67"",""552.50M"",""-0.73%"""
"12/13/2021,""28,640.49"",""28,705.26"",""28,793.32"",""28,593.45"",""535.38M"",""0.71%"""
"12/10/2021,""28,437.77"",""28,542.50"",""28,699.01"",""28,392.87"",""633.62M"",""-1.00%"""
"12/09/2021,""28,725.47"",""28,827.32"",""28,908.29"",""28,725.47"",""543.77M"",""-0.47%"""
"12/08/2021,""28,860.62"",""28,792.89"",""28,897.44"",""28,621.47"",""719.88M"",""1.42%"""
"12/07/2021,""28,455.60"",""28,138.82"",""28,618.46"",""27,961.66"",""782.69M"",""1.89%"""
"12/06/2021,""27,927.37"",""28,069.96"",""28,081.04"",""27,693.91"",""616.86M"",""-0.36%"""
"12/03/2021,""28,029.57"",""27,841.05"",""28,029.57"",""27,588.61"",""719.09M"",""1.00%"""
"12/02/2021,""27,753.37"",""27,716.20"",""27,938.55"",""27,644.96"",""774.20M"",""-0.65%"""
"12/01/2021,""27,935.62"",""27,866.73"",""28,106.30"",""27,594.01"",""808.76M"",""0.41%"""
"11/30/2021,""27,821.76"",""28,611.73"",""28,718.70"",""27,819.14"",""1.41B"",""-1.63%"""
"11/29/2021,""28,283.92"",""28,337.96"",""28,776.34"",""28,187.12"",""859.12M"",""-1.63%"""
"11/26/2021,""28,751.62"",""29,324.47"",""29,332.99"",""28,605.61"",""728.75M"",""-2.53%"""
"11/25/2021,""29,499.28"",""29,469.65"",""29,570.42"",""29,444.45"",""507.12M"",""0.67%"""
"11/24/2021,""29,302.66"",""29,663.45"",""29,758.05"",""29,212.93"",""695.30M"",""-1.58%"""
"11/22/2021,""29,774.11"",""29,618.55"",""29,806.49"",""29,542.29"",""587.71M"",""0.09%"""
"11/19/2021,""29,745.87"",""29,641.05"",""29,768.54"",""29,589.19"",""655.73M"",""0.50%"""
"11/18/2021,""29,598.66"",""29,597.93"",""29,715.95"",""29,402.57"",""654.09M"",""-0.30%"""
"11/17/2021,""29,688.33"",""29,906.68"",""29,909.97"",""29,623.79"",""639.04M"",""-0.40%"""
"11/16/2021,""29,808.12"",""29,749.71"",""29,960.93"",""29,681.25"",""619.85M"",""0.11%"""
"11/15/2021,""29,776.80"",""29,807.37"",""29,861.88"",""29,718.21"",""604.25M"",""0.56%"""
"11/12/2021,""29,609.97"",""29,381.45"",""29,661.22"",""29,381.45"",""684.04M"",""1.13%"""
"11/11/2021,""29,277.86"",""29,046.19"",""29,336.03"",""29,040.08"",""605.68M"",""0.59%"""
"11/10/2021,""29,106.78"",""29,209.06"",""29,296.88"",""29,079.77"",""638.90M"",""-0.61%"""
"11/09/2021,""29,285.46"",""29,557.55"",""29,750.46"",""29,240.31"",""650.45M"",""-0.75%"""
"11/08/2021,""29,507.05"",""29,735.45"",""29,735.45"",""29,507.05"",""683.47M"",""-0.35%"""
"11/05/2021,""29,611.57"",""29,840.73"",""29,840.73"",""29,504.07"",""735.08M"",""-0.61%"""
"11/04/2021,""29,794.37"",""29,859.74"",""29,880.81"",""29,718.78"",""904.00M"",""0.93%"""
"11/02/2021,""29,520.90"",""29,462.40"",""29,599.57"",""29,457.18"",""711.16M"",""-0.43%"""
"11/01/2021,""29,647.08"",""29,330.68"",""29,666.83"",""29,267.63"",""767.31M"",""2.61%"""
"10/29/2021,""28,892.69"",""28,819.16"",""29,000.65"",""28,475.06"",""1.04B"",""0.25%"""
"10/28/2021,""28,820.09"",""28,871.61"",""28,895.11"",""28,693.06"",""1.43B"",""-0.96%"""
"10/27/2021,""29,098.24"",""29,056.01"",""29,139.22"",""28,870.25"",""705.99M"",""-0.03%"""
"10/26/2021,""29,106.01"",""28,927.61"",""29,160.76"",""28,893.95"",""727.76M"",""1.77%"""
"10/25/2021,""28,600.41"",""28,527.13"",""28,668.70"",""28,472.55"",""626.68M"",""-0.71%"""
"10/22/2021,""28,804.85"",""28,578.53"",""28,989.50"",""28,546.57"",""602.06M"",""0.34%"""
"10/21/2021,""28,708.58"",""29,152.74"",""29,220.82"",""28,688.78"",""591.46M"",""-1.87%"""
"10/20/2021,""29,255.55"",""29,385.95"",""29,489.11"",""29,222.32"",""661.08M"",""0.14%"""
"10/19/2021,""29,215.52"",""29,117.28"",""29,272.49"",""29,075.37"",""576.45M"",""0.65%"""
"10/18/2021,""29,025.46"",""29,093.82"",""29,144.33"",""28,924.40"",""625.65M"",""-0.15%"""
"10/15/2021,""29,068.63"",""28,787.26"",""29,082.35"",""28,726.22"",""663.48M"",""1.81%"""
"10/14/2021,""28,550.93"",""28,264.41"",""28,576.68"",""28,234.01"",""647.53M"",""1.46%"""
"10/13/2021,""28,140.28"",""28,085.44"",""28,364.99"",""27,993.46"",""639.33M"",""-0.32%"""
"10/12/2021,""28,230.61"",""28,458.88"",""28,468.88"",""28,166.38"",""663.19M"",""-0.94%"""
"10/11/2021,""28,498.20"",""27,977.57"",""28,581.36"",""27,893.32"",""722.98M"",""1.60%"""
"10/08/2021,""28,048.94"",""28,031.37"",""28,321.35"",""28,018.89"",""826.66M"",""1.34%"""
"10/07/2021,""27,678.21"",""27,665.97"",""28,015.11"",""27,607.97"",""795.51M"",""0.54%"""
"10/06/2021,""27,528.87"",""28,033.91"",""28,209.82"",""27,293.62"",""1.00B"",""-1.05%"""
"10/05/2021,""27,822.12"",""28,050.39"",""28,058.67"",""27,460.29"",""881.94M"",""-2.19%"""
"10/04/2021,""28,444.89"",""29,044.47"",""29,046.06"",""28,343.58"",""764.01M"",""-1.13%"""
"10/01/2021,""28,771.07"",""29,235.11"",""29,393.67"",""28,680.73"",""821.61M"",""-2.31%"""
"09/30/2021,""29,452.66"",""29,569.19"",""29,622.27"",""29,311.34"",""990.27M"",""-0.31%"""
"09/29/2021,""29,544.29"",""29,611.92"",""29,679.26"",""29,329.16"",""946.52M"",""-2.12%"""
"09/28/2021,""30,183.96"",""30,142.38"",""30,207.63"",""30,001.99"",""898.06M"",""-0.19%"""
"09/27/2021,""30,240.06"",""30,277.82"",""30,414.61"",""30,197.40"",""746.36M"",""-0.03%"""
"09/24/2021,""30,248.81"",""30,141.61"",""30,276.38"",""30,110.30"",""845.85M"",""2.06%"""
"09/22/2021,""29,639.40"",""29,744.73"",""29,868.10"",""29,573.88"",""689.91M"",""-0.67%"""
"09/21/2021,""29,839.71"",""30,021.25"",""30,051.00"",""29,832.52"",""763.11M"",""-2.17%"""
"09/17/2021,""30,500.05"",""30,387.54"",""30,541.99"",""30,358.93"",""978.60M"",""0.58%"""
"09/16/2021,""30,323.34"",""30,606.15"",""30,622.39"",""30,202.51"",""698.64M"",""-0.62%"""
"09/15/2021,""30,511.71"",""30,464.17"",""30,573.41"",""30,347.30"",""685.56M"",""-0.52%"""
"09/14/2021,""30,670.10"",""30,584.77"",""30,795.78"",""30,504.81"",""790.95M"",""0.73%"""
"09/13/2021,""30,447.37"",""30,372.02"",""30,447.37"",""30,229.01"",""646.30M"",""0.22%"""
"09/10/2021,""30,381.84"",""30,089.45"",""30,381.84"",""30,064.02"",""888.24M"",""1.25%"""
"09/09/2021,""30,008.19"",""29,959.21"",""30,097.56"",""29,909.92"",""788.05M"",""-0.57%"""
"09/08/2021,""30,181.21"",""29,819.55"",""30,241.87"",""29,787.13"",""825.31M"",""0.89%"""
"09/07/2021,""29,916.14"",""29,883.92"",""30,048.23"",""29,838.43"",""751.54M"",""0.86%"""
"09/06/2021,""29,659.89"",""29,501.22"",""29,705.04"",""29,469.35"",""682.79M"",""1.83%"""
"09/03/2021,""29,128.11"",""28,626.48"",""29,149.65"",""28,607.87"",""748.76M"",""2.05%"""
"09/02/2021,""28,543.51"",""28,522.46"",""28,626.20"",""28,412.91"",""601.42M"",""0.33%"""
"09/01/2021,""28,451.02"",""28,179.04"",""28,457.67"",""28,179.04"",""648.04M"",""1.29%"""
"08/31/2021,""28,089.54"",""27,690.77"",""28,158.95"",""27,602.21"",""758.54M"",""1.08%"""
"08/30/2021,""27,789.29"",""27,867.60"",""27,921.55"",""27,656.63"",""586.30M"",""0.54%"""
"08/27/2021,""27,641.14"",""27,581.24"",""27,670.66"",""27,481.23"",""492.12M"",""-0.36%"""
"08/26/2021,""27,742.29"",""27,793.63"",""27,828.28"",""27,684.50"",""484.91M"",""0.06%"""
"08/25/2021,""27,724.80"",""27,768.13"",""27,897.72"",""27,684.05"",""514.64M"",""-0.03%"""
"08/24/2021,""27,732.10"",""27,653.23"",""27,817.89"",""27,653.23"",""570.72M"",""0.87%"""
"08/23/2021,""27,494.24"",""27,193.10"",""27,541.63"",""27,193.10"",""567.82M"",""1.78%"""
"08/20/2021,""27,013.25"",""27,238.45"",""27,316.79"",""26,954.81"",""758.03M"",""-0.98%"""
"08/19/2021,""27,281.17"",""27,398.58"",""27,504.80"",""27,255.58"",""651.28M"",""-1.10%"""
"08/18/2021,""27,585.91"",""27,418.08"",""27,671.57"",""27,347.77"",""500.51M"",""0.59%"""
"08/17/2021,""27,424.47"",""27,666.94"",""27,750.39"",""27,424.47"",""495.70M"",""-0.36%"""
"08/16/2021,""27,523.19"",""27,806.11"",""27,833.21"",""27,427.38"",""571.88M"",""-1.62%"""
"08/13/2021,""27,977.15"",""28,038.96"",""28,070.00"",""27,949.33"",""558.18M"",""-0.14%"""
"08/12/2021,""28,015.02"",""28,177.20"",""28,279.80"",""28,006.31"",""579.36M"",""-0.20%"""
"08/11/2021,""28,070.51"",""28,045.84"",""28,146.68"",""27,974.99"",""671.47M"",""0.65%"""
"08/10/2021,""27,888.15"",""27,887.03"",""28,128.61"",""27,808.54"",""614.31M"",""0.24%"""
"08/06/2021,""27,820.04"",""27,709.22"",""27,888.87"",""27,709.22"",""563.74M"",""0.33%"""
"08/05/2021,""27,728.12"",""27,526.67"",""27,741.55"",""27,526.67"",""559.20M"",""0.52%"""
"08/04/2021,""27,584.08"",""27,612.90"",""27,636.34"",""27,488.74"",""675.05M"",""-0.21%"""
"08/03/2021,""27,641.83"",""27,580.03"",""27,724.45"",""27,492.40"",""579.45M"",""-0.50%"""
"08/02/2021,""27,781.02"",""27,493.32"",""27,834.60"",""27,493.32"",""600.89M"",""1.82%"""
"07/30/2021,""27,283.59"",""27,677.89"",""27,699.35"",""27,272.49"",""706.42M"",""-1.80%"""
"07/29/2021,""27,782.42"",""27,722.61"",""27,798.05"",""27,663.41"",""677.83M"",""0.73%"""
"07/28/2021,""27,581.66"",""27,674.99"",""27,809.86"",""27,466.99"",""570.86M"",""-1.39%"""
"07/27/2021,""27,970.22"",""27,911.93"",""28,036.23"",""27,862.69"",""517.00M"",""0.49%"""
"07/26/2021,""27,833.29"",""27,990.47"",""28,036.47"",""27,786.44"",""545.42M"",""1.04%"""
"07/21/2021,""27,548.00"",""27,747.06"",""27,882.43"",""27,438.07"",""514.11M"",""0.58%"""
"07/20/2021,""27,388.16"",""27,351.80"",""27,564.52"",""27,330.15"",""630.10M"",""-0.96%"""
"07/19/2021,""27,652.74"",""27,663.40"",""27,792.52"",""27,493.63"",""498.79M"",""-1.25%"""
"07/16/2021,""28,003.08"",""28,039.26"",""28,201.30"",""27,847.35"",""503.83M"",""-0.98%"""
"07/15/2021,""28,279.09"",""28,539.32"",""28,571.72"",""28,240.21"",""532.04M"",""-1.15%"""
"07/14/2021,""28,608.49"",""28,517.31"",""28,696.80"",""28,482.82"",""548.27M"",""-0.38%"""
"07/13/2021,""28,718.24"",""28,713.82"",""28,852.31"",""28,699.04"",""497.93M"",""0.52%"""
"07/12/2021,""28,569.02"",""28,412.70"",""28,595.12"",""28,405.60"",""555.42M"",""2.25%"""
"07/09/2021,""27,940.42"",""27,739.42"",""28,000.02"",""27,419.40"",""823.23M"",""-0.63%"""
"07/08/2021,""28,118.03"",""28,332.63"",""28,366.76"",""28,118.03"",""622.20M"",""-0.88%"""
"07/07/2021,""28,366.95"",""28,262.40"",""28,434.99"",""28,161.75"",""603.36M"",""-0.96%"""
"07/06/2021,""28,643.21"",""28,677.95"",""28,748.23"",""28,587.61"",""417.42M"",""0.16%"""
"07/05/2021,""28,598.19"",""28,709.57"",""28,731.07"",""28,581.08"",""384.61M"",""-0.64%"""
"07/02/2021,""28,783.28"",""28,719.24"",""28,849.32"",""28,688.63"",""474.72M"",""0.27%"""
"07/01/2021,""28,707.04"",""28,832.41"",""28,833.17"",""28,624.80"",""458.89M"",""-0.29%"""
"06/30/2021,""28,791.53"",""28,896.31"",""28,998.99"",""28,779.76"",""539.68M"",""-0.07%"""
"06/29/2021,""28,812.61"",""28,927.44"",""28,951.68"",""28,735.55"",""597.27M"",""-0.81%"""
"06/28/2021,""29,048.02"",""29,112.66"",""29,121.28"",""28,984.93"",""476.82M"",""-0.06%"""
"06/25/2021,""29,066.18"",""29,137.30"",""29,174.17"",""28,992.74"",""515.61M"",""0.66%"""
"06/24/2021,""28,875.23"",""28,811.82"",""28,935.34"",""28,758.37"",""446.19M"",""0.00%"""
"06/23/2021,""28,874.89"",""28,886.92"",""29,007.83"",""28,860.06"",""510.55M"",""-0.03%"""
"06/22/2021,""28,884.13"",""28,513.07"",""28,895.26"",""28,494.46"",""677.73M"",""3.12%"""
"06/21/2021,""28,010.93"",""28,506.84"",""28,506.84"",""27,795.86"",""758.20M"",""-3.29%"""
"06/18/2021,""28,964.08"",""29,136.74"",""29,136.74"",""28,957.98"",""902.16M"",""-0.19%"""
"06/17/2021,""29,018.33"",""29,149.34"",""29,197.68"",""28,875.39"",""568.70M"",""-0.93%"""
"06/16/2021,""29,291.01"",""29,306.14"",""29,434.10"",""29,263.72"",""524.10M"",""-0.51%"""
"06/15/2021,""29,441.30"",""29,256.03"",""29,480.85"",""29,235.71"",""530.41M"",""0.96%"""
"06/14/2021,""29,161.80"",""29,153.11"",""29,208.35"",""29,026.27"",""450.30M"",""0.74%"""
"06/11/2021,""28,948.73"",""29,030.04"",""29,080.89"",""28,839.54"",""710.66M"",""-0.03%"""
"06/10/2021,""28,958.56"",""28,799.74"",""29,007.53"",""28,799.74"",""533.39M"",""0.34%"""
"06/09/2021,""28,860.80"",""28,901.56"",""28,932.03"",""28,801.83"",""503.98M"",""-0.35%"""
"06/08/2021,""28,963.56"",""29,046.03"",""29,140.68"",""28,897.64"",""504.18M"",""-0.19%"""
"06/07/2021,""29,019.24"",""29,214.00"",""29,241.20"",""28,973.05"",""509.56M"",""0.27%"""
"06/04/2021,""28,941.52"",""28,901.42"",""28,991.24"",""28,764.68"",""557.89M"",""-0.40%"""
"06/03/2021,""29,058.11"",""28,890.39"",""29,157.16"",""28,879.15"",""585.37M"",""0.39%"""
"06/02/2021,""28,946.14"",""28,730.81"",""29,003.55"",""28,565.83"",""710.02M"",""0.46%"""
